dataset,model,policy,policy_key,seed,n_stream_rows,n_init_train_rows,scorer,n_alarms,n_adaptations,n_skip,n_nudge,n_rebuild,n_degraded,n_alarms_deferred,n_alarms_coalesced,n_alarms_unserved,n_reference_carried,n_nudge_attempts,n_nudge_successes,n_adaptations_with_placeholders,total_placeholder_rows,initial_placeholder_rows,n_adaptations_on_falling_error,work_units_on_falling_error,total_work_units,total_estimators_fitted,total_rows_processed,total_passes,total_wall_clock_s,total_energy_kwh,initial_work_units,final_prequential_accuracy,mean_prequential_accuracy,final_prequential_balanced_accuracy,mean_prequential_balanced_accuracy,model_size_unit,initial_model_size,final_model_size,initial_n_nodes,final_n_nodes,inference_unit,initial_inference_units,final_inference_units,inference_growth,initial_predict_us_per_row,final_predict_us_per_row,run_wall_clock_s,config_json
insects_abrupt,sgd,MechanismSelector,mechanism_selector,0,47564,4227,balanced_accuracy,11,11,7,1,3,1,1,0,0,1,3,1,0,0,0,5,0,161355,0,3679,242,0.08545139999478124,,942621,0.822,0.19598856277857202,0.25,0.19229169790754533,params,204,204,,,params_read,204.0,204.0,1.0,0.2995000031660311,0.41369999962626025,0.6684489999970538,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_abrupt,sgd,FixedSchedule(k=3),fixed_schedule,0,47564,4227,balanced_accuracy,9,9,0,6,3,0,0,0,0,0,6,,2,4,0,4,1114600,2117800,0,7800,2119,0.47564240000065183,,942621,0.413,0.223130939365907,0.37315997566909975,0.22273477258467103,params,204,204,,,params_read,204.0,204.0,1.0,0.23809999402146786,0.24370000028284267,1.1112391999995452,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_gradual,rf,AlwaysRebuild,always_rebuild,0,21735,1932,balanced_accuracy,7,7,0,0,7,0,0,0,0,1,0,,5,11,1,0,0,544000,700,5440,700,2.355478300007235,,193200,0.71,0.4912813434552565,0.57770449593979,0.4880587026859846,trees,100,100,26588,10928,node_visits,876.428,843.227,0.9621178237117025,14.79739999922458,15.342500002589077,3.848119599999336,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_gradual,rf,MechanismSelector,mechanism_selector,0,21735,1932,balanced_accuracy,7,7,1,0,6,1,0,0,0,1,5,0,5,23,1,1,36605,454460,625,7748,625,1.9791238000107114,,193200,0.54,0.47927306188175756,0.23773420479302831,0.4748304881809411,trees,100,100,26588,9006,node_visits,876.428,787.831,0.8989112625338306,14.619299996411428,13.698999995540362,3.5213242000027094,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_gradual,rf,FixedSchedule(k=3),fixed_schedule,0,21735,1932,balanced_accuracy,6,6,0,4,2,0,0,0,0,0,4,,4,10,1,1,100000,212350,220,4470,220,0.8950072000006912,,193200,0.529,0.2832758224062572,0.20996632996632994,0.2955949499637433,trees,100,100,26588,37760,node_visits,876.428,1041.743,1.1886235948646096,16.110500000650063,16.38480000110576,2.380269399996905,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_gradual,sgd,AlwaysRebuild,always_rebuild,0,21735,1932,balanced_accuracy,6,6,0,0,6,0,0,0,0,0,0,,4,8,1,2,1480000,3454000,0,5208,4246,0.7269082000057097,,1932000,0.227,0.2124223602484472,0.10294117647058824,0.2174099809374528,params,204,204,,,params_read,204.0,204.0,1.0,0.23569999757455662,0.6285000054049306,1.0703441000005114,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_gradual,sgd,MechanismSelector,mechanism_selector,0,21735,1932,balanced_accuracy,6,6,5,1,0,0,0,0,0,0,1,1,0,0,1,3,0,800,0,800,1,0.005173999998078216,,1932000,0.807,0.18219461697722567,0.3924915824915825,0.19240939575787033,params,204,204,,,params_read,204.0,204.0,1.0,0.3488000002107583,0.24290000146720558,0.34628010000596987,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_gradual,sgd,FixedSchedule(k=3),fixed_schedule,0,21735,1932,balanced_accuracy,7,7,0,5,2,0,1,0,0,1,5,,1,3,1,1,80,1095677,0,4677,1098,0.34803690000262577,,1932000,0.593,0.2631239935587762,0.3936007130124777,0.27504557835349003,params,204,204,,,params_read,204.0,204.0,1.0,0.2682999984244816,0.22840000019641593,0.7087439999959315,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_incremental,rf,AlwaysRebuild,always_rebuild,0,51317,4560,balanced_accuracy,7,7,0,0,7,0,0,0,0,0,0,,0,0,0,0,0,700000,700,7000,700,3.0866951999996672,,456000,0.699,0.623204785938383,0.69813246970367,0.6232072125214653,trees,100,100,190346,37744,node_visits,1245.109,1014.614,0.8148796611381013,22.79640000051586,19.40699999977369,6.462539200001629,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_incremental,rf,MechanismSelector,mechanism_selector,0,51317,4560,balanced_accuracy,7,7,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,728000,735,12600,735,3.124594499997329,,456000,0.699,0.623204785938383,0.69813246970367,0.6232072125214653,trees,100,100,190346,37744,node_visits,1245.109,1014.614,0.8148796611381013,23.369199996523093,18.345199998293538,6.614624800000456,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
