dataset,model,policy,policy_key,seed,n_stream_rows,n_init_train_rows,scorer,n_alarms,n_adaptations,n_skip,n_nudge,n_rebuild,n_degraded,n_alarms_deferred,n_alarms_coalesced,n_alarms_unserved,n_reference_carried,n_nudge_attempts,n_nudge_successes,n_adaptations_with_placeholders,total_placeholder_rows,initial_placeholder_rows,total_work_units,total_estimators_fitted,total_rows_processed,total_passes,total_wall_clock_s,total_energy_kwh,initial_work_units,final_prequential_accuracy,mean_prequential_accuracy,final_prequential_balanced_accuracy,mean_prequential_balanced_accuracy,model_size_unit,initial_model_size,final_model_size,initial_n_nodes,final_n_nodes,inference_unit,initial_inference_units,final_inference_units,inference_growth,initial_predict_us_per_row,final_predict_us_per_row,run_wall_clock_s,config_json
elec2,rf,FixedSchedule(k=3),fixed_schedule,1,40781,3624,accuracy,64,64,0,43,21,0,1,0,0,8,43,,0,0,0,1254785,2315,30253,2315,4.826227000019571,5.056464027810384e-05,362400,0.859,0.7303891518108924,0.8546046578897678,0.7240680391962083,trees,100,100,69258,3666,node_visits,867.911,504.736,0.5815527168108251,17.636299999139737,11.611699999775738,10.102031600003102,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,AlwaysNudge,always_nudge,1,40781,3624,accuracy,72,72,0,72,0,0,0,0,0,11,72,,0,0,0,151715,360,30343,360,0.7068397000184632,2.1809788611111313e-05,362400,0.771,0.7399279076040313,0.7711250205896887,0.730232185477783,trees,100,100,69258,6926,node_visits,867.911,527.102,0.6073226402246313,12.824599998566555,12.11680000051274,5.960345300001791,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,NeverAdapt,never_adapt,1,40781,3624,accuracy,80,80,80,0,0,0,1,0,0,18,0,,0,0,0,0,0,0,0,0.0,1.5517279444449426e-05,362400,0.725,0.7146465265687453,0.7068932268963606,0.6729923532630542,trees,100,100,69258,69258,node_visits,867.911,867.911,1.0,16.073599999799626,13.173000003007473,4.464563300000009,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,sgd,AlwaysRebuild,always_rebuild,1,40781,3624,accuracy,54,54,0,0,54,0,1,0,0,5,0,,0,0,0,2014852,0,32892,3087,0.22925989999930607,2.451089444116505e-06,366024,0.609,0.653490596110934,0.5829613797702794,0.6392430853990105,params,9,9,,,params_read,9.0,9.0,1.0,0.34139999843318947,0.2917000019806437,1.9556470999996236,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,sgd,MechanismSelector,mechanism_selector,1,40781,3624,accuracy,70,70,23,7,40,15,0,0,0,12,32,7,0,0,0,1089705,0,33481,2174,0.18120910001016455,2.287203611429315e-06,366024,0.585,0.6092052671587259,0.5559396732165313,0.6010395139216617,params,9,9,,,params_read,9.0,9.0,1.0,0.2913000025728252,0.16490000052726828,1.9481976000024588,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,sgd,FixedSchedule(k=3),fixed_schedule,1,40781,3624,accuracy,63,63,0,42,21,0,0,0,0,9,42,,0,0,0,788525,0,29733,1333,0.13045199997577583,1.8548319441068336e-06,366024,0.626,0.6346337755327236,0.6263523910152624,0.6141128767202432,params,9,9,,,params_read,9.0,9.0,1.0,0.23829999918234535,0.1649999976507388,1.894040799998038,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,sgd,AlwaysNudge,always_nudge,1,40781,3624,accuracy,70,70,0,70,0,0,0,0,0,11,70,,0,0,0,29833,0,29833,70,0.0850292999894009,2.1151427784512215e-06,366024,0.776,0.6961330031141953,0.762690278854691,0.6833116099837946,params,9,9,,,params_read,9.0,9.0,1.0,0.2195999986724928,0.23940000028233044,1.8647304000005533,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,sgd,NeverAdapt,never_adapt,1,40781,3624,accuracy,79,79,79,0,0,0,1,0,0,22,0,,0,0,0,0,0,0,0,0.0,1.0804655555571261e-06,366024,0.585,0.6275961844976827,0.5556745182012848,0.5655280472552308,params,9,9,,,params_read,9.0,9.0,1.0,0.24539999867556617,0.1646999990043696,1.6776414000014483,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,AlwaysRebuild,always_rebuild,1,40781,3624,accuracy,77,77,0,0,77,0,1,0,0,7,0,,0,0,0,36948,0,36948,77,0.07015679998585256,1.6101605558882254e-06,3624,0.741,0.6810524508962507,0.7433801639943594,0.6678119859634271,params,34,34,,,params_read,34.0,34.0,1.0,0.25649999952293,0.5047000013291836,1.8789804999978514,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,MechanismSelector,mechanism_selector,1,40781,3624,accuracy,66,66,13,13,40,14,0,0,0,10,39,13,0,0,0,36049,0,36049,79,0.07379790000413777,1.5248138885583793e-06,3624,0.683,0.672690713812805,0.6875128057819864,0.6495440700401959,params,34,34,,,params_read,34.0,34.0,1.0,0.2746999998635147,0.2581999979156535,1.796881399997801,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,FixedSchedule(k=3),fixed_schedule,1,40781,3624,accuracy,81,81,0,54,27,0,1,0,0,15,54,,0,0,0,33970,0,33970,81,0.0661337999990792,1.5670899999927913e-06,3624,0.638,0.6892915818641033,0.6460943871504272,0.6751341647430442,params,34,34,,,params_read,34.0,34.0,1.0,0.2601000014692545,0.2950999987660907,1.8200969999998051,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,AlwaysNudge,always_nudge,1,40781,3624,accuracy,73,73,0,73,0,0,0,0,0,11,73,,0,0,0,31274,0,31274,73,0.06514430000970606,1.6533030558809529e-06,3624,0.763,0.7051077707756063,0.7518209319797036,0.6799821366687192,params,34,34,,,params_read,34.0,34.0,1.0,0.2537000000302214,0.28329999986453913,1.8195747999998275,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,NeverAdapt,never_adapt,1,40781,3624,accuracy,64,64,64,0,0,0,1,0,0,11,0,,0,0,0,0,0,0,0,0.0,8.57405278448196e-07,3624,0.467,0.4804933670091464,0.5,0.5380421220500731,params,34,34,,,params_read,34.0,34.0,1.0,0.2535999992687721,0.26219999926979654,1.6704121999973722,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,xgb,AlwaysRebuild,always_rebuild,1,47564,4227,balanced_accuracy,9,9,0,0,9,0,0,0,0,0,0,,0,0,0,900000,900,9000,900,9.60416460000124,6.824818861110348e-05,422700,0.39,0.5604448742746615,0.4344803614876607,0.5608586746253009,rounds,100,100,29416,11532,node_visits,3673.036,2357.422,0.6418183758612767,18.116600000212202,13.76670000172453,15.30329139999958,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,xgb,MechanismSelector,mechanism_selector,1,47564,4227,balanced_accuracy,11,11,5,1,5,0,0,0,0,0,6,1,4,15,0,476575,530,8979,530,4.971842899994954,5.2893356388888375e-05,422700,0.45,0.45650071482633925,0.35811283454987836,0.4539220111710304,rounds,100,105,29416,3502,node_visits,3673.036,1294.357,0.35239431358690737,17.024699998728465,8.948099999543047,10.882696000000578,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,xgb,FixedSchedule(k=3),fixed_schedule,1,47564,4227,balanced_accuracy,11,11,0,8,3,0,0,0,0,0,8,,3,10,0,325405,340,8841,340,5.3512509999927715,5.202313472255928e-05,422700,0.489,0.4942603649819191,0.5841599322210635,0.49527412446460356,rounds,100,110,29416,15468,node_visits,3673.036,2874.613,0.7826258713500222,16.838300001836615,16.322999999829335,11.18669840000075,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,xgb,AlwaysNudge,always_nudge,1,47564,4227,balanced_accuracy,10,10,0,10,0,0,0,0,0,0,10,,2,3,0,40000,50,8000,50,2.1536937999953807,4.0525755555882686e-05,422700,0.226,0.501219409637541,0.5375825512686826,0.5031137949391248,rounds,100,150,29416,40844,node_visits,3673.036,5286.679,1.4393213134856289,18.684300001041265,18.503499999496853,8.997300799997902,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,xgb,NeverAdapt,never_adapt,1,47564,4227,balanced_accuracy,9,9,9,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0,2.3495787221892055e-05,422700,0.276,0.5618324783449667,0.6358500608272507,0.5689607474919983,rounds,100,100,29416,29416,node_visits,3673.036,3673.036,1.0,18.182899999374058,17.311099996732082,6.017718200000672,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,AlwaysRebuild,always_rebuild,1,47564,4227,balanced_accuracy,10,10,0,0,10,0,0,0,0,1,0,,1,2,0,919200,1000,9192,1000,4.1192145999957575,4.116939111044419e-05,422700,0.25,0.535678244050122,0.5386578901633646,0.5359048630497546,trees,100,100,122862,21882,node_visits,1296.761,1014.286,0.7821688036577288,24.473800000123447,20.155700000032084,8.904586899996502,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,MechanismSelector,mechanism_selector,1,47564,4227,balanced_accuracy,9,9,6,0,3,1,0,0,0,1,2,0,1,4,0,224000,310,3760,310,1.3352141000032134,2.8850003611120073e-05,422700,0.683,0.5087461105037423,0.2992483489746263,0.511681988399448,trees,100,100,122862,34392,node_visits,1296.761,983.271,0.7582515205192013,21.394799998233793,26.86119999998482,6.545393600001262,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,FixedSchedule(k=3),fixed_schedule,1,47564,4227,balanced_accuracy,10,10,0,7,3,0,0,0,0,1,7,,3,8,0,240800,335,7728,335,1.2350063999911072,2.7940618332666902e-05,422700,0.344,0.3983054410898999,0.46000173792144594,0.3971204943484528,trees,100,100,122862,31280,node_visits,1296.761,1004.885,0.7749192025361651,25.021199999173405,16.983800000161864,6.46594819999882,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,AlwaysNudge,always_nudge,1,47564,4227,balanced_accuracy,9,9,0,9,0,0,0,0,0,0,9,,4,13,0,34045,45,6809,45,0.1679582000033406,1.8256130555211298e-05,422700,0.24,0.5533386594903709,0.633079162321863,0.5610987487796958,trees,100,100,122862,76114,node_visits,1296.761,1043.142,0.8044211693596585,21.04469999903813,35.65059999891673,5.260669999999664,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,NeverAdapt,never_adapt,1,47564,4227,balanced_accuracy,8,8,8,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0,1.8797919444435738e-05,422700,0.207,0.5555251871163065,0.6558774330900243,0.5635582622047781,trees,100,100,122862,122862,node_visits,1296.761,1296.761,1.0,21.61609999893699,24.50229999885778,5.089392300000327,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,sgd,AlwaysRebuild,always_rebuild,1,47564,4227,balanced_accuracy,8,8,0,0,8,0,0,0,0,0,0,,2,2,0,2706000,0,8000,2706,0.6001008000021102,6.409123055552329e-06,727044,0.19,0.1530569338154907,0.20980948036148764,0.1526365053061479,params,204,204,,,params_read,204.0,204.0,1.0,0.23999999757506885,0.41119999877992086,2.694810900000448,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,sgd,MechanismSelector,mechanism_selector,1,47564,4227,balanced_accuracy,11,11,10,0,1,0,0,0,0,0,1,0,0,0,0,106800,0,1800,107,0.05980930000077933,2.7398155552239553e-06,727044,0.07,0.18368934488268437,0.25,0.18697801279633997,params,204,204,,,params_read,204.0,204.0,1.0,0.23519999740528874,0.8799000024737325,2.0935272999995505,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,sgd,FixedSchedule(k=3),fixed_schedule,1,47564,4227,balanced_accuracy,9,9,0,6,3,0,0,0,0,0,6,,0,0,0,355800,0,7800,357,0.1886060999968322,3.6644522222094424e-06,727044,0.19,0.19100580270793036,0.20980948036148764,0.18929539331090417,params,204,204,,,params_read,204.0,204.0,1.0,0.4092999988642987,0.2387000022281427,2.254003099998954,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,sgd,AlwaysNudge,always_nudge,1,47564,4227,balanced_accuracy,9,9,0,9,0,0,0,0,0,0,9,,0,0,0,7200,0,7200,9,0.051226599996880395,4.540339166000976e-06,727044,0.042,0.1713060297704146,0.06831769204031977,0.16955381252177829,params,204,204,,,params_read,204.0,204.0,1.0,0.23799999689799733,0.8000999987416435,2.1935276000003796,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,sgd,NeverAdapt,never_adapt,1,47564,4227,balanced_accuracy,10,10,10,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0,3.2037588888927732e-06,727044,0.077,0.24367168446724413,0.325,0.24758425685777388,params,204,204,,,params_read,204.0,204.0,1.0,0.3529999994498212,0.6888999996590428,2.1463618999987375,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,gnb,AlwaysRebuild,always_rebuild,1,47564,4227,balanced_accuracy,10,10,0,0,10,0,0,0,0,0,0,,3,4,0,9384,0,9384,10,0.01950800000122399,1.0809841663313979e-06,4227,0.299,0.5725548734336894,0.7058361574556831,0.5733682680547112,params,402,402,,,params_read,402.0,402.0,1.0,1.1112000029243063,1.2630999990506098,1.73427029999948,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,gnb,MechanismSelector,mechanism_selector,1,47564,4227,balanced_accuracy,11,11,8,1,2,1,0,0,0,1,2,1,1,1,0,2728,0,2728,4,0.009795800000574673,2.4818474996710993e-06,4227,0.233,0.4051803885291397,0.49015250260688215,0.4023382415452221,params,402,402,,,params_read,402.0,402.0,1.0,0.8553000006941147,1.2126999972679187,1.8899875999995857,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,gnb,FixedSchedule(k=3),fixed_schedule,1,47564,4227,balanced_accuracy,11,11,0,8,3,0,0,0,0,0,8,,0,0,0,9086,0,9086,11,0.018181599996751174,1.4218980562246438e-06,4227,0.21,0.41750063072912286,0.6685132082029892,0.4161156070580471,params,402,402,,,params_read,402.0,402.0,1.0,1.2454999996407423,1.0679999977583066,1.8153268999994907,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,gnb,AlwaysNudge,always_nudge,1,47564,4227,balanced_accuracy,7,7,0,7,0,0,0,0,0,0,7,,0,0,0,5600,0,5600,7,0.009040000004461035,1.133150555550637e-06,4227,0.661,0.4888571188293667,0.6478775634341327,0.48718297247645137,params,402,402,,,params_read,402.0,402.0,1.0,0.8589999997639097,1.6366999989259057,1.7231843000008666,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,gnb,NeverAdapt,never_adapt,1,47564,4227,balanced_accuracy,8,8,8,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0,7.806411117848359e-07,4227,0.701,0.4918425700109326,0.6579531630170317,0.49116669023416265,params,402,402,,,params_read,402.0,402.0,1.0,1.0055000020656735,0.9660000032454263,1.6648488999999245,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_gradual,xgb,AlwaysRebuild,always_rebuild,1,21735,1932,balanced_accuracy,7,7,0,0,7,0,0,0,0,1,0,,5,11,1,588800,700,5888,700,5.0201504999968165,3.4423924166665875e-05,193200,0.608,0.5131354957441914,0.5353198653198653,0.5092618247809012,rounds,100,100,8232,6928,node_visits,1833.129,1732.201,0.9449422271973222,11.950899999646936,10.402899999462534,8.049535699999979,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_gradual,xgb,MechanismSelector,mechanism_selector,1,21735,1932,balanced_accuracy,5,5,0,1,4,0,0,0,0,0,5,1,3,13,1,405855,425,7755,425,4.036386899995705,2.9986062221890598e-05,193200,0.521,0.3899240855762595,0.2540978411566647,0.3967950636678477,rounds,100,100,8232,13408,node_visits,1833.129,2566.164,1.399881841376139,11.793900001066504,14.54609999927925,7.333743700000923,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_gradual,xgb,FixedSchedule(k=3),fixed_schedule,1,21735,1932,balanced_accuracy,7,7,0,5,2,0,0,0,0,0,5,,5,13,1,216350,225,5270,225,2.548223900008452,2.599848833366069e-05,193200,0.393,0.4339084426040948,0.4698039215686274,0.43522763811490917,rounds,100,105,8232,15346,node_visits,1833.129,2889.309,1.5761623977363297,12.193399998068344,15.437199999723816,6.007736600000499,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
