dataset,model,policy,policy_key,seed,n_stream_rows,n_init_train_rows,scorer,n_alarms,n_adaptations,n_skip,n_nudge,n_rebuild,n_degraded,n_alarms_deferred,n_alarms_coalesced,n_alarms_unserved,n_reference_carried,n_nudge_attempts,n_nudge_successes,n_adaptations_with_placeholders,total_placeholder_rows,initial_placeholder_rows,total_work_units,total_estimators_fitted,total_rows_processed,total_passes,total_wall_clock_s,total_energy_kwh,initial_work_units,final_prequential_accuracy,mean_prequential_accuracy,final_prequential_balanced_accuracy,mean_prequential_balanced_accuracy,model_size_unit,initial_model_size,final_model_size,initial_n_nodes,final_n_nodes,inference_unit,initial_inference_units,final_inference_units,inference_growth,initial_predict_us_per_row,final_predict_us_per_row,run_wall_clock_s,config_json
elec2,sgd,AlwaysRebuild,always_rebuild,0,40781,3624,accuracy,61,61,0,0,61,0,3,0,0,7,0,,0,0,0,2279084,0,36696,3421,0.28324380001504323,2.5912519447907953e-06,235560,0.582,0.6619258968637356,0.5756635906006564,0.6469537347064525,params,9,9,,,params_read,9.0,9.0,1.0,0.17660000230534934,0.4903999979433138,2.048381699998572,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,sgd,MechanismSelector,mechanism_selector,0,40781,3624,accuracy,52,52,15,11,26,8,1,0,0,5,29,11,0,0,0,759753,0,27789,1284,0.13885419999132864,1.8541061107835183e-06,235560,0.549,0.6239915646992472,0.5546500556423781,0.6136845213022208,params,9,9,,,params_read,9.0,9.0,1.0,0.16880000111996196,0.1998999978241045,1.8550106000002415,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,sgd,FixedSchedule(k=3),fixed_schedule,0,40781,3624,accuracy,55,55,0,37,18,0,0,0,0,8,37,,0,0,0,580910,0,26918,1060,0.10987989999557612,1.575468889224995e-06,235560,0.676,0.6265417719035825,0.6641088581862593,0.6192845274137937,params,9,9,,,params_read,9.0,9.0,1.0,0.5636000023514498,0.3853999987768475,1.8100808000017423,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,sgd,AlwaysNudge,always_nudge,0,40781,3624,accuracy,64,64,0,64,0,0,2,0,0,10,64,,0,0,0,26580,0,26580,64,0.06438369999887072,1.4746013892257653e-06,235560,0.728,0.6944655599421299,0.7179272912808192,0.6840614260225069,params,9,9,,,params_read,9.0,9.0,1.0,0.17040000238921493,0.16700000196578912,1.8165671999995538,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,sgd,NeverAdapt,never_adapt,0,40781,3624,accuracy,81,81,81,0,0,0,0,0,0,22,0,,0,0,0,0,0,0,0,0.0,1.055066111108644e-06,235560,0.625,0.6541036266888992,0.5985010706638115,0.5975892093108534,params,9,9,,,params_read,9.0,9.0,1.0,0.16700000196578912,0.22910000188858248,1.6987200000003213,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,AlwaysRebuild,always_rebuild,0,40781,3624,accuracy,77,77,0,0,77,0,1,0,0,7,0,,0,0,0,36948,0,36948,77,0.08001479999438743,1.691549722231686e-06,3624,0.741,0.6810524508962507,0.7433801639943594,0.6678119859634271,params,34,34,,,params_read,34.0,34.0,1.0,0.3715999991982244,0.2702999991015531,1.838512599999376,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,MechanismSelector,mechanism_selector,0,40781,3624,accuracy,66,66,13,13,40,14,0,0,0,10,39,13,0,0,0,36049,0,36049,79,0.06975599999350379,1.5486966670045862e-06,3624,0.683,0.672690713812805,0.6875128057819864,0.6495440700401959,params,34,34,,,params_read,34.0,34.0,1.0,0.2767000005405862,0.8804999997664709,1.8447903000014776,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,FixedSchedule(k=3),fixed_schedule,0,40781,3624,accuracy,81,81,0,54,27,0,1,0,0,15,54,,0,0,0,33970,0,33970,81,0.07857229999717674,1.7069566663308452e-06,3624,0.638,0.6892915818641033,0.6460943871504272,0.6751341647430442,params,34,34,,,params_read,34.0,34.0,1.0,0.2525000018067658,0.256800001807278,1.8473025999992387,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,AlwaysNudge,always_nudge,0,40781,3624,accuracy,73,73,0,73,0,0,0,0,0,11,73,,0,0,0,31274,0,31274,73,0.07418389997837949,1.9700641670071398e-06,3624,0.763,0.7051077707756063,0.7518209319797036,0.6799821366687192,params,34,34,,,params_read,34.0,34.0,1.0,0.4775000015797559,0.28649999876506627,1.8855896999994002,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,gnb,NeverAdapt,never_adapt,0,40781,3624,accuracy,64,64,64,0,0,0,1,0,0,11,0,,0,0,0,0,0,0,0,0.0,8.445499999954949e-07,3624,0.467,0.4804933670091464,0.5,0.5380421220500731,params,34,34,,,params_read,34.0,34.0,1.0,0.2626000023155939,0.26310000248486176,1.6484951000020374,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
