model,dataset,seed,prediction_change_pct,accuracy_gain_pp
xgb,elec2,0,0.0,0.0
xgb,elec2,0,14.184397163120568,-8.510638297872342
xgb,elec2,0,37.01298701298701,21.42857142857143
xgb,elec2,0,33.33333333333333,2.564102564102566
xgb,elec2,0,24.822695035460992,13.475177304964536
xgb,elec2,0,16.0,0.0
xgb,elec2,0,3.4482758620689653,3.4482758620689613
xgb,elec2,0,7.6923076923076925,-2.564102564102566
xgb,elec2,0,2.564102564102564,2.5641025641025603
xgb,elec2,0,27.0,-2.0000000000000018
xgb,elec2,0,22.413793103448278,22.413793103448278
xgb,elec2,0,12.5,11.50000000000001
xgb,elec2,0,11.0,10.000000000000009
xgb,elec2,0,32.29166666666667,21.875
xgb,elec2,0,2.7522935779816518,2.752293577981657
xgb,elec2,0,4.166666666666666,0.0
xgb,elec2,0,24.444444444444443,14.444444444444448
xgb,elec2,0,3.5000000000000004,2.499999999999991
xgb,elec2,0,2.2222222222222223,-2.2222222222222254
xgb,elec2,0,38.46153846153847,-7.692307692307687
xgb,elec2,0,18.96551724137931,5.172413793103459
xgb,elec2,0,24.137931034482758,20.689655172413797
xgb,elec2,0,13.934426229508196,10.655737704918034
xgb,elec2,0,22.5,16.500000000000004
xgb,elec2,0,5.633802816901409,5.633802816901406
xgb,elec2,0,25.0,-14.999999999999991
xgb,elec2,0,29.565217391304348,19.130434782608702
xgb,elec2,0,0.0,0.0
xgb,elec2,0,2.5974025974025974,2.5974025974025983
xgb,elec2,0,18.96551724137931,-18.965517241379303
xgb,elec2,0,17.94871794871795,17.948717948717952
xgb,elec2,0,2.2222222222222223,2.2222222222222254
xgb,elec2,0,9.375,-5.2083333333333375
xgb,elec2,0,2.2222222222222223,2.2222222222222254
xgb,elec2,0,1.5625,-1.5625
xgb,elec2,0,3.5000000000000004,2.500000000000002
xgb,elec2,0,31.0,-6.000000000000005
xgb,elec2,0,29.87012987012987,27.27272727272727
xgb,elec2,0,32.0,10.999999999999998
xgb,elec2,0,13.0,7.000000000000006
xgb,elec2,0,39.0625,29.6875
xgb,elec2,0,9.580838323353294,3.592814371257486
xgb,elec2,0,34.375,15.625
xgb,elec2,0,33.5,22.499999999999996
xgb,elec2,0,18.0,-1.0000000000000009
xgb,elec2,0,40.25974025974026,40.25974025974026
xgb,elec2,0,2.564102564102564,2.564102564102566
xgb,elec2,0,3.5000000000000004,2.500000000000002
xgb,elec2,0,1.7241379310344827,-1.7241379310344862
xgb,elec2,0,2.9629629629629632,2.9629629629629672
xgb,elec2,0,4.166666666666666,1.041666666666663
xgb,elec2,0,17.037037037037038,11.111111111111105
xgb,elec2,0,8.88888888888889,7.4074074074074066
xgb,covtype,0,22.972972972972975,-1.41593515622373
xgb,covtype,0,17.24137931034483,0.8074534161490732
xgb,covtype,0,4.0,-7.014652014652012
xgb,covtype,0,10.0,-2.5773060796645764
xgb,covtype,0,15.0,19.624387588459445
xgb,covtype,0,16.0,7.962171355028502
xgb,covtype,0,15.5,18.556832694763735
