policy,cell,never_minus_policy_pp,seed_min_pp,seed_max_pp,never_better_in_seeds,n_seeds,never_adapt_dominates,robust_dominance
AlwaysNudge,insects_incremental/xgb,-31.14271690785735,,,,1,False,False
MechanismSelector,covtype/gnb,13.36982272237281,,,,1,True,True
MechanismSelector,covtype/rf,11.21602413806734,-0.7294488356048419,19.553393901323112,3.0,5,True,False
MechanismSelector,covtype/sgd,5.817819554221373,-10.298629033989329,22.558316759896293,3.0,5,True,False
MechanismSelector,covtype/xgb,28.212385937868625,,,,1,True,True
MechanismSelector,elec2/gnb,-19.219734680365853,,,,1,False,False
MechanismSelector,elec2/rf,-0.8410779529682912,-2.915573428802631,1.439395797062346,2.0,5,False,False
MechanismSelector,elec2/sgd,2.954807385792421,-1.005370147862962,5.845859591476426,4.0,5,True,True
MechanismSelector,elec2/xgb,-0.5713444986636063,,,,1,False,False
MechanismSelector,insects_abrupt/gnb,8.882844868894054,,,,1,True,True
MechanismSelector,insects_abrupt/rf,5.514103977748178,3.817124794112317,7.77154341557727,5.0,5,True,True
MechanismSelector,insects_abrupt/sgd,1.1725066767831116,-2.3291447596649277,6.060624406143393,3.0,5,True,False
MechanismSelector,insects_abrupt/xgb,11.503873632096791,,,,1,True,True
MechanismSelector,insects_gradual/gnb,-19.65863723250613,,,,1,False,False
MechanismSelector,insects_gradual/rf,-16.716430132325716,-19.4937675298039,-12.17438172467729,0.0,5,False,False
MechanismSelector,insects_gradual/sgd,1.0067777772573585,-3.529679479672229,5.121023195831929,4.0,5,True,True
MechanismSelector,insects_gradual/xgb,-9.074595362277854,,,,1,False,False
MechanismSelector,insects_incremental/gnb,-33.613224588434726,,,,1,False,False
MechanismSelector,insects_incremental/rf,-40.50661976772121,-41.51324961298488,-38.60039888692574,0.0,5,False,False
MechanismSelector,insects_incremental/sgd,-0.049988108760445016,-2.798140736793208,2.548200192990972,1.0,5,False,False
MechanismSelector,insects_incremental/xgb,-35.72193181566298,,,,1,False,False
